c_100,se_100,N_100,c_100_fe,se_100_fe,N_100_fe,c_99,se_99,N_99,c_99_fe,se_99_fe,N_99_fe,c_975,se_975,N_975,c_975_fe,se_975_fe,N_975_fe
-8.108871,1.859914,496,-8.58986,1.999724,496,-9.109426,2.0083,430,-9.542432,2.106999,430,-16.87989,2.356817,364,-16.97157,2.477489,364
-15.72018,2.761781,296,-14.83302,2.869065,296,-13.53133,3.670714,178,-11.96115,3.842644,178,-17.39426,4.060235,152,-14.84002,4.384629,152
-2.54547,.6117058,495,-2.843163,.5715002,495,-2.623462,.6076321,429,-3.015394,.5735375,429,-2.461142,.6963717,352,-2.888515,.6473805,352
-5.56107,1.144571,437,-5.985814,1.240347,437,-8.096315,1.283223,314,-8.552938,1.38488,314,-1.741166,1.729484,186,-.6118023,1.892354,186
-10.83277,2.530523,315,-10.19201,2.242482,315,-11.49586,2.871441,191,-10.71938,2.634758,191,-11.22055,3.108044,148,-9.296177,2.822232,148
-9.065204,1.692611,507,-8.322453,1.657946,507,-16.51745,2.647583,352,-15.19797,2.685445,352,-2.571768,2.875638,220,-.5101572,2.864946,220
-51.08492,18.05212,91,-69.31159,19.32187,91,-64.85202,15.61216,86,-68.46829,19.0802,86,-61.25254,15.89723,80,-65.92005,19.51452,80
-4.749608,1.767781,430,-3.635295,1.751935,430,-3.126029,1.782815,341,-3.231331,1.762756,341,-2.937968,2.339443,220,.0150884,2.073664,220
-1.664959,1.408955,376,-.8806243,1.568519,376,-1.669395,2.226498,272,-3.101282,2.244483,272,-.6026144,2.114277,180,-1.946212,2.216171,180
-2.764923,1.435814,342,-3.379599,1.544863,342,-2.412995,1.598312,263,-3.028205,1.725931,263,-2.989686,1.875992,186,-3.854017,2.071721,186
-7.986103,2.525784,388,-6.575921,2.28389,388,-3.275866,2.506837,288,-.8767775,2.579454,288,.0539305,2.818937,235,1.30712,2.768071,235
-4.295704,2.154172,404,-5.030583,1.932021,404,-6.987933,2.124203,314,-7.299228,2.006822,314,-.518199,3.021497,186,-.8161598,2.825111,186
-1.51586,1.805798,397,-2.867699,1.851621,397,-1.447542,2.798324,290,-3.883024,3.139062,290,2.822315,4.333655,186,-.7010506,4.239276,186
-12.7937,2.13997,306,-13.88247,2.21337,306,-12.94875,4.531353,126,-9.854956,5.602581,126,-11.47364,5.143478,62,-21.57345,5.777013,62
-10.59944,1.375644,343,-11.01532,1.460089,343,-12.90853,1.637963,269,-13.95169,1.660068,269,-3.371968,2.628063,177,-4.659535,2.822725,177
-7.074862,1.717754,312,-4.859322,1.687782,312,-3.953304,1.77192,143,-3.271896,2.072187,143,-4.818528,1.83033,93,-3.334515,2.18828,93
-8.980567,1.252633,383,-7.627406,1.220352,383,-8.714502,1.564262,237,-7.486533,1.479204,237,-1.965242,1.361631,94,-2.451055,1.248375,94
-1.01484,.7990043,237,-.4934678,.9115926,237,-1.839716,.9170916,126,-1.587161,1.041728,126,3.061995,.8552322,59,2.131917,1.337606,59
-.3697906,1.078936,245,-.9016766,1.156818,245,-.3910776,1.081872,226,-.9111611,1.153091,226,-.5258086,1.149057,167,-1.046605,1.217252,167
-5.002328,.923921,412,-4.952907,.9197568,412,-3.98434,1.084211,227,-3.523977,1.040477,227,-3.057493,.8307841,135,-2.614114,.8050766,135
